driverId,name,ssn,location,certified,wage-plan
10,Christopher Huang,603-49-1455,"878 Eric Park Suite 378
North Ricardomouth, WI 92800",N,hours
11,Nicholas Pennington,845-88-3259,"94698 Elizabeth Hills
Port Maryland, VT 44293",N,hours
12,David Coleman,456-52-1978,"53769 Chapman Trace Apt. 933
West Cynthiaview, IL 54296",N,hours
13,Mrs. Cathy Nelson PhD,712-95-7048,"360 Allen Route
Port Michelleberg, AZ 90715",Y,hours
14,Alan Mullen,444-42-5930,"9687 Sparks Haven Suite 756
Rogersmouth, OH 76499",Y,hours
15,Tonya Davidson,433-42-2940,"48034 Bell Mountain Suite 679
South Thomas, WA 88615",N,hours
16,Sara Carter,034-17-4428,"299 Paula Hollow
New Glen, WV 45586",Y,miles
17,Kimberly Schmidt,014-07-8021,"7929 Deanna Lane Suite 545
North Mary, DC 68560",Y,hours
18,Michelle Cooke,116-51-0439,"927 Lee Rapids
Alexandriamouth, MD 32816",N,miles
19,Jerry Holder,305-75-3801,"19498 Kerr Groves Apt. 187
East Joelfurt, AR 39125",Y,miles
20,Jennifer Thomas,208-49-3809,"3969 Nelson Fall
Wilsonton, VI 25650",N,miles
21,Timothy Rich,182-14-2193,"7609 Andrew Parkways
Williamsonburgh, VI 54072",Y,miles
22,Brittany Barker,101-21-0998,"14715 Thompson Station
Lukefort, ME 34165",N,miles
23,Nicole Villarreal,101-60-4509,"473 Gilmore Station
Amymouth, LA 34405",Y,hours
24,Rodney Brown,704-95-3770,"8386 Barker Gardens Suite 492
New Lindsey, RI 79164",N,hours
25,Eric Terrell,576-61-8540,"089 Tiffany Estate Apt. 377
Rebeccaport, IA 46945",N,miles
26,Trevor Simmons,402-34-3645,"34719 Toni Road
Lake Glennland, MA 06477",N,miles
27,Cindy Hawkins,673-18-0105,"40398 Misty Alley Suite 660
Doyletown, NM 23985",N,hours
28,Robert Greer,560-56-0677,"328 Moore Curve Suite 998
Juarezfurt, TX 11404",Y,miles
29,Olivia Bryant,888-61-7560,"169 Garza Shore
Jasonbury, PR 43000",N,miles
30,Christopher Ponce,168-12-4709,"1900 Tanya Rapids
Jacksonshire, AK 17003",Y,hours
31,Robert Young,269-11-8583,"2387 Danielle Vista Apt. 075
Bradleychester, RI 79847",Y,hours
32,Ann Hernandez,867-45-2221,"427 Kelly Mill Suite 366
Miguelport, VA 14869",Y,hours
33,James Walker,508-55-6237,"4506 Dustin Courts
Paigetown, OK 74220",N,hours
34,Mary Ortiz,784-16-2526,"92820 Sims Street
Nicoleshire, MS 19807",Y,hours
35,Jonathan Massey,184-69-5251,"1976 Burke Crescent
East Oscarstad, NM 64739",N,miles
36,Timothy Smith,202-43-9942,"1598 Dustin Brooks Suite 837
Lake Daniel, GA 10473",Y,hours
37,Todd Black,860-44-0158,"21995 Lori Inlet
East Kelly, MH 25756",Y,miles
